"dataset_id","chart_dim_rule","search_policy","status","n"
"LA-13K-SUB-N500","auto","full","not_started",3
"LA-D1-HC-Bv-N500","auto","full","not_started",3
"LA-D1-HC-Gv-N500","auto","full","not_started",3
"LA-D1-HC-Lc-N500","auto","full","not_started",3
"LA-D1-HC-Li-N500","auto","full","not_started",3
"LA-D1-RAW-N500","auto","full","not_started",2
"LA-D2-HC-TOP1-N500","auto","full","not_started",3
"LA-D2-RAW-N500","auto","full","not_started",3
"LA-D3-RAW-N500","auto","full","not_started",3
"SYN-PARA-LINE-N500","auto","full","not_started",3
"SYN-RANK-BLOCKS-N600-P100","auto","full","not_started",3
"SYN-SADDLE-LINE-N500","auto","full","not_started",3
"SYN-SIMPLEX-FACES-N600","auto","full","not_started",3
"SYN-TWO-PLANES-N600","auto","full","not_started",3
"LA-13K-SUB-N500","local.auto","full","not_started",3
"LA-D1-HC-Bv-N500","local.auto","full","not_started",3
"LA-D1-HC-Gv-N500","local.auto","full","not_started",3
"LA-D1-HC-Lc-N500","local.auto","full","not_started",3
"LA-D1-HC-Li-N500","local.auto","full","not_started",3
"LA-D1-RAW-N500","local.auto","full","not_started",3
"LA-D2-HC-TOP1-N500","local.auto","full","not_started",3
"LA-D2-RAW-N500","local.auto","full","not_started",3
"LA-D3-RAW-N500","local.auto","full","not_started",3
"SYN-PARA-LINE-N500","local.auto","full","not_started",3
"SYN-RANK-BLOCKS-N600-P100","local.auto","full","not_started",3
"SYN-SADDLE-LINE-N500","local.auto","full","not_started",3
"SYN-SIMPLEX-FACES-N600","local.auto","full","not_started",3
"SYN-TWO-PLANES-N600","local.auto","full","not_started",3
"LA-13K-SUB-N500","auto","screened","not_started",3
"LA-D1-HC-Bv-N500","auto","screened","not_started",3
"LA-D1-HC-Gv-N500","auto","screened","not_started",3
"LA-D1-HC-Lc-N500","auto","screened","not_started",3
"LA-D1-HC-Li-N500","auto","screened","not_started",3
"LA-D1-RAW-N500","auto","screened","not_started",2
"LA-D2-HC-TOP1-N500","auto","screened","not_started",3
"LA-D2-RAW-N500","auto","screened","not_started",3
"LA-D3-RAW-N500","auto","screened","not_started",3
"SYN-PARA-LINE-N500","auto","screened","not_started",3
"SYN-RANK-BLOCKS-N600-P100","auto","screened","not_started",3
"SYN-SADDLE-LINE-N500","auto","screened","not_started",3
"SYN-SIMPLEX-FACES-N600","auto","screened","not_started",3
"SYN-TWO-PLANES-N600","auto","screened","not_started",3
"LA-13K-SUB-N500","local.auto","screened","not_started",3
"LA-D1-HC-Bv-N500","local.auto","screened","not_started",3
"LA-D1-HC-Gv-N500","local.auto","screened","not_started",3
"LA-D1-HC-Lc-N500","local.auto","screened","not_started",3
"LA-D1-HC-Li-N500","local.auto","screened","not_started",3
"LA-D1-RAW-N500","local.auto","screened","not_started",3
"LA-D2-HC-TOP1-N500","local.auto","screened","not_started",3
"LA-D2-RAW-N500","local.auto","screened","not_started",3
"LA-D3-RAW-N500","local.auto","screened","not_started",3
"SYN-PARA-LINE-N500","local.auto","screened","not_started",3
"SYN-RANK-BLOCKS-N600-P100","local.auto","screened","not_started",3
"SYN-SADDLE-LINE-N500","local.auto","screened","not_started",3
"SYN-SIMPLEX-FACES-N600","local.auto","screened","not_started",3
"SYN-TWO-PLANES-N600","local.auto","screened","not_started",3
"LA-D1-RAW-N500","auto","full","ok",1
"LA-D1-RAW-N500","auto","screened","ok",1
